num_objects,model,overall_per_object_l2_mean,overall_per_object_l2_std,changed_object_l2_mean,changed_object_l2_std,unchanged_object_l2_mean,unchanged_object_l2_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,num_parameters_mean,num_parameters_std,flops_per_forward_estimate_mean,flops_per_forward_estimate_std,avg_inference_latency_ms_mean,avg_inference_latency_ms_std
3,sparse,0.13626365860303244,0.04644322440736724,0.358904500802358,0.11635157326330924,0.0021179108686434724,0.0022963652138947707,0.9527885692455568,0.046165998732524124,0.7966343911894982,0.018032288724560017,0.867310900644234,0.021499276884599617,6916.0,0.0,39936.0,0.0,0.19457839999813586,0.004400584793101364
3,dense,0.3474724094072978,0.053231702355614134,0.5821372667948405,0.1391926134057237,0.2066264202197393,0.0040507300767375,0.3754046481069751,0.00627207760439807,1.0,0.0,0.545862266403134,0.006647984641247217,76809.0,0.0,152576.0,0.0,0.04197020000234867,0.0011126565741312988
3,no_op,0.149372731645902,0.045491377493163586,0.3972734312216441,0.1172144750874594,2.7123606611686075e-05,2.677561504467821e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007420666666196969,0.004263648515568619
5,sparse,0.10128677388032277,0.004094904811407143,0.4083863099416097,0.024033954342244417,0.0015934672361860673,0.0005049035370579049,0.923435651478817,0.023561055440440647,0.7092755631518011,0.03526217086886757,0.8019059479937917,0.023926443999752505,8452.0,0.0,81920.0,0.0,0.2024856000013339,0.022968931643824575
5,dense,0.31909020741780597,0.007049946245315101,0.6090918978055319,0.027296646798441817,0.22479685644308725,0.0018350346924814233,0.24523581940461736,0.00455069029232718,1.0,0.0,0.3938642137298281,0.00587117417918384,82959.0,0.0,164864.0,0.0,0.04136506666933807,0.002753156992138426
5,no_op,0.10794888188441594,0.0006997347559548158,0.4402275284131368,0.00549002739393501,7.683609358840235e-06,3.9182084126134565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00446653333104526,0.0008303204779533742
8,sparse,0.07050813486178716,0.01589765238299588,0.398037314414978,0.09297944179799272,0.0007048449188005179,0.0002556737282055022,0.9655447127156478,0.008920449016477669,0.7255639889486446,0.007778344927328059,0.8285187933372566,0.007765293981347011,10756.0,0.0,167936.0,0.0,0.19520213333210754,0.006483757135045944
8,dense,0.3285689850648244,0.02315517268597283,0.6183891097704569,0.08631184653652021,0.26677661140759784,0.016472483887421483,0.1758167559911802,0.003119239025937702,1.0,0.0,0.2990467023133363,0.004514845410328335,92184.0,0.0,183296.0,0.0,0.039653399998011686,0.00390694322593687
8,no_op,0.07084457700451215,0.01610581414733122,0.4031198223431905,0.09336035553373086,2.5022399010291945e-05,1.0382507049234473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005146999998639028,0.00015076485059509746
